datetime,consommation,production_solaire,production_eolienne,temperature,vent,humidite,ferie,jour_semaine
2024-04-02 14:00,374.3,401.1,93.3,25.3,0.5,34.6,0,2
2024-04-02 15:00,421.7,290.2,107.9,21.5,0.5,31.4,0,2
2024-04-02 16:00,381.2,208.8,93.8,17.3,0.5,41.0,0,2
2024-04-02 17:00,380.8,106.7,122.4,20.2,0.5,38.8,0,2
2024-04-02 18:00,368.1,12.8,93.1,18.3,0.5,43.8,0,2
2024-04-02 19:00,408.4,0.0,97.7,15.0,0.5,54.6,0,2
2024-04-02 20:00,437.3,0.0,88.4,12.6,0.5,67.4,0,2
2024-04-02 21:00,402.7,0.0,140.1,13.9,2.5,68.7,0,2
2024-04-02 22:00,393.9,0.0,115.4,13.5,1.58,70.6,0,2
2024-04-02 23:00,375.5,0.0,95.8,10.1,0.83,65.5,0,2
2024-04-03 00:00,382.4,0.0,162.5,13.3,2.64,73.6,0,3
2024-04-03 01:00,362.3,0.0,200.6,10.0,4.82,79.2,0,3
2024-04-03 02:00,373.1,0.0,184.4,11.3,4.24,80.5,0,3
2024-04-03 03:00,418.4,0.0,199.2,13.4,5.85,70.5,0,3
2024-04-03 04:00,368.8,0.0,205.7,13.2,5.35,78.6,0,3
2024-04-03 05:00,386.4,0.0,183.0,14.2,4.54,78.6,0,3
2024-04-03 06:00,391.3,0.0,189.6,18.8,4.78,73.2,0,3
2024-04-03 07:00,402.1,135.6,182.8,20.3,4.49,61.3,0,3
2024-04-03 08:00,419.8,237.4,172.5,21.6,3.38,53.5,0,3
2024-04-03 09:00,374.4,323.1,150.1,24.6,2.79,53.3,0,3
2024-04-03 10:00,417.7,374.6,129.7,23.3,2.36,36.8,0,3
2024-04-03 11:00,391.3,434.5,118.4,26.1,1.7,41.7,0,3
2024-04-03 12:00,377.4,437.6,97.8,24.2,0.5,40.2,0,3
2024-04-03 13:00,384.4,438.3,95.9,24.6,0.5,25.1,0,3
2024-04-03 14:00,354.7,378.9,98.9,22.1,0.5,20.0,0,3
2024-04-03 15:00,377.1,317.9,91.0,22.6,0.5,36.9,0,3
2024-04-03 16:00,365.1,232.8,116.3,20.5,0.5,35.6,0,3
2024-04-03 17:00,372.8,119.8,101.1,18.6,0.5,42.2,0,3
2024-04-03 18:00,389.0,21.8,110.6,17.2,0.5,42.7,0,3
2024-04-03 19:00,433.3,0.0,122.9,19.5,0.5,54.6,0,3
2024-04-03 20:00,391.8,0.0,95.7,11.9,0.5,50.8,0,3
2024-04-03 21:00,463.8,0.0,128.4,10.5,1.31,63.9,0,3
2024-04-03 22:00,356.2,0.0,140.5,10.0,1.46,70.9,0,3
2024-04-03 23:00,404.4,0.0,143.7,12.6,2.49,60.7,0,3
2024-04-04 00:00,380.1,0.0,146.4,12.5,2.54,72.5,0,4
2024-04-04 01:00,377.4,0.0,190.1,10.0,4.5,71.7,0,4
2024-04-04 02:00,352.4,0.0,213.3,12.0,5.03,72.1,0,4
2024-04-04 03:00,382.1,0.0,199.7,12.7,4.45,90.0,0,4
2024-04-04 04:00,375.5,0.0,236.9,13.6,6.24,88.9,0,4
2024-04-04 05:00,392.3,0.0,226.4,16.5,5.72,65.9,0,4
2024-04-04 06:00,375.2,10.8,190.6,13.5,3.89,53.2,0,4
2024-04-04 07:00,369.3,115.6,206.0,19.0,5.1,51.8,0,4
2024-04-04 08:00,376.5,235.0,143.4,20.4,2.26,54.4,0,4
2024-04-04 09:00,378.9,332.5,134.4,20.1,2.47,41.1,0,4
2024-04-04 10:00,378.1,374.2,121.5,24.1,1.68,36.9,0,4
2024-04-04 11:00,367.4,437.9,141.7,21.4,2.4,37.6,0,4
2024-04-04 12:00,370.5,441.4,106.4,23.6,0.87,38.7,0,4
2024-04-04 13:00,409.6,430.9,106.8,19.2,0.5,40.4,0,4
2024-04-04 14:00,377.7,375.4,101.4,23.7,1.25,37.8,0,4
2024-04-04 15:00,368.4,302.0,117.9,22.4,0.5,20.9,0,4
2024-04-04 16:00,381.4,212.1,116.2,22.3,0.5,43.7,0,4
2024-04-04 17:00,364.2,95.7,110.3,19.9,0.5,36.0,0,4
2024-04-04 18:00,368.3,0.0,95.1,20.8,0.5,46.4,0,4
2024-04-04 19:00,434.9,0.0,100.5,13.5,0.5,42.7,0,4
2024-04-04 20:00,443.6,0.0,106.0,13.0,0.5,51.0,0,4
2024-04-04 21:00,400.0,0.0,123.7,10.1,1.28,66.7,0,4
2024-04-04 22:00,347.5,0.0,125.3,10.0,2.34,62.2,0,4
2024-04-04 23:00,391.5,0.0,137.9,10.3,2.93,66.3,0,4
2024-04-05 00:00,380.9,0.0,142.4,10.0,2.77,72.1,0,5
2024-04-05 01:00,395.0,0.0,182.7,10.0,4.73,75.1,0,5
2024-04-05 02:00,365.7,0.0,216.0,12.0,5.46,62.7,0,5
2024-04-05 03:00,381.6,0.0,201.1,11.6,5.12,74.9,0,5
2024-04-05 04:00,372.6,0.0,198.5,15.8,5.15,79.0,0,5
2024-04-05 05:00,385.2,0.0,223.7,14.3,5.13,69.7,0,5
2024-04-05 06:00,372.7,0.0,176.8,18.7,4.4,75.9,0,5
2024-04-05 07:00,430.2,121.4,173.8,15.1,3.91,61.6,0,5
2024-04-05 08:00,413.9,202.8,149.3,22.2,2.17,56.6,0,5
2024-04-05 09:00,420.9,320.9,148.1,22.6,2.53,53.0,0,5
2024-04-05 10:00,364.6,390.8,118.0,22.1,1.49,48.3,0,5
2024-04-05 11:00,370.8,430.6,111.5,24.7,1.42,44.6,0,5
2024-04-05 12:00,363.4,463.0,119.5,23.1,0.73,38.6,0,5
2024-04-05 13:00,357.6,408.0,127.1,24.6,1.0,25.4,0,5
2024-04-05 14:00,359.7,426.4,102.3,24.4,0.5,32.0,0,5
2024-04-05 15:00,384.0,306.3,105.7,22.2,0.5,34.2,0,5
2024-04-05 16:00,370.8,210.2,99.7,24.3,0.5,44.5,0,5
2024-04-05 17:00,407.5,114.1,96.7,18.9,0.5,25.5,0,5
2024-04-05 18:00,381.3,0.0,88.0,15.0,0.5,48.3,0,5
2024-04-05 19:00,402.9,0.0,106.9,14.5,0.88,46.7,0,5
2024-04-05 20:00,425.8,0.0,108.0,13.0,0.5,54.6,0,5
2024-04-05 21:00,410.1,0.0,157.5,15.7,1.9,59.6,0,5
2024-04-05 22:00,383.6,0.0,132.7,11.1,2.01,67.3,0,5
2024-04-05 23:00,370.2,0.0,136.7,10.0,2.45,72.4,0,5
2024-04-06 00:00,382.3,0.0,174.5,10.2,3.35,87.2,1,6
2024-04-06 01:00,423.3,0.0,139.2,12.7,2.88,76.7,1,6
2024-04-06 02:00,446.8,0.0,189.2,10.0,3.93,92.3,1,6
2024-04-06 03:00,438.8,0.0,170.6,13.5,4.22,75.5,1,6
2024-04-06 04:00,442.8,0.0,201.3,14.9,4.86,74.0,1,6
2024-04-06 05:00,441.1,0.0,219.0,14.5,5.59,65.1,1,6
2024-04-06 06:00,446.6,0.0,190.2,16.4,4.79,58.7,1,6
2024-04-06 07:00,422.0,125.6,158.6,20.9,3.7,51.6,1,6
2024-04-06 08:00,453.8,223.5,134.1,24.0,2.25,66.9,1,6
2024-04-06 09:00,432.1,320.5,146.9,22.7,2.75,56.3,1,6
2024-04-06 10:00,405.7,400.9,139.8,22.9,2.18,30.5,1,6
2024-04-06 11:00,420.3,423.0,119.1,23.4,1.23,39.8,1,6
2024-04-06 12:00,448.5,457.1,108.9,22.0,0.74,21.4,1,6
2024-04-06 13:00,396.9,415.5,103.1,25.7,0.88,38.0,1,6
2024-04-06 14:00,433.4,378.4,94.9,23.1,0.5,24.9,1,6
2024-04-06 15:00,412.4,334.0,91.5,19.1,0.5,21.4,1,6
2024-04-06 16:00,414.5,235.5,95.2,25.8,0.5,34.6,1,6
2024-04-06 17:00,450.7,105.9,103.7,19.1,0.64,36.6,1,6
2024-04-06 18:00,442.7,0.0,107.3,20.5,0.5,55.2,1,6
2024-04-06 19:00,466.9,0.0,98.5,17.1,0.5,37.5,1,6
2024-04-06 20:00,456.0,0.0,113.0,13.4,0.87,56.2,1,6
2024-04-06 21:00,495.0,0.0,128.9,13.3,1.56,69.0,1,6
2024-04-06 22:00,433.7,0.0,114.8,10.8,1.0,70.5,1,6
2024-04-06 23:00,429.3,0.0,143.6,10.0,2.13,80.0,1,6
2024-04-07 00:00,420.7,0.0,168.4,10.1,3.52,83.2,1,7
2024-04-07 01:00,434.0,0.0,170.1,10.0,3.86,77.0,1,7
2024-04-07 02:00,422.1,0.0,193.8,13.4,4.06,78.7,1,7
2024-04-07 03:00,434.8,0.0,220.3,12.4,5.52,68.7,1,7
2024-04-07 04:00,455.4,0.0,237.1,13.7,5.64,73.0,1,7
2024-04-07 05:00,458.4,0.0,186.6,14.5,4.63,82.9,1,7
2024-04-07 06:00,413.5,0.0,179.8,16.2,4.43,58.1,1,7
2024-04-07 07:00,432.0,131.2,181.6,18.7,4.26,72.3,1,7
2024-04-07 08:00,456.9,227.5,180.8,20.4,3.9,47.1,1,7
2024-04-07 09:00,420.4,308.9,177.9,22.5,4.25,44.1,1,7
2024-04-07 10:00,419.7,377.2,154.4,21.8,2.71,52.4,1,7
2024-04-07 11:00,402.7,457.9,143.2,22.7,1.6,38.7,1,7
2024-04-07 12:00,436.0,459.9,121.1,22.8,0.5,35.4,1,7
2024-04-07 13:00,416.8,434.2,118.9,23.4,0.5,21.2,1,7
2024-04-07 14:00,451.4,427.6,95.7,22.0,0.5,29.9,1,7
2024-04-07 15:00,463.2,327.0,97.4,21.0,0.5,35.6,1,7
2024-04-07 16:00,439.1,241.0,112.7,21.7,0.5,39.1,1,7
2024-04-07 17:00,432.6,134.6,92.8,21.6,0.5,36.2,1,7
2024-04-07 18:00,453.0,2.9,101.5,17.7,0.5,42.7,1,7
2024-04-07 19:00,518.9,0.0,97.9,12.5,0.5,53.0,1,7
2024-04-07 20:00,478.3,0.0,107.1,13.9,0.65,66.0,1,7
2024-04-07 21:00,483.5,0.0,130.1,13.3,1.34,58.3,1,7
2024-04-07 22:00,451.5,0.0,120.5,10.0,2.08,62.6,1,7
2024-04-07 23:00,428.8,0.0,150.5,10.0,3.0,83.6,1,7
2024-04-08 00:00,387.9,0.0,142.9,13.8,2.63,61.3,0,1
2024-04-08 01:00,369.8,0.0,177.2,10.0,4.55,80.9,0,1
2024-04-08 02:00,413.2,0.0,189.0,12.7,4.99,79.3,0,1
2024-04-08 03:00,384.4,0.0,186.2,10.0,4.48,78.8,0,1
2024-04-08 04:00,378.5,0.0,194.7,14.2,4.25,86.8,0,1
2024-04-08 05:00,388.1,0.0,210.2,15.9,5.17,76.7,0,1
2024-04-08 06:00,378.4,21.6,187.0,19.7,4.72,72.5,0,1
2024-04-08 07:00,402.3,106.3,188.5,22.4,4.1,51.5,0,1
2024-04-08 08:00,391.9,188.6,145.3,19.2,3.23,41.8,0,1
2024-04-08 09:00,362.6,317.5,161.4,23.5,3.25,51.5,0,1
2024-04-08 10:00,376.0,390.1,155.9,20.7,2.9,48.6,0,1
2024-04-08 11:00,362.0,430.5,131.6,19.7,1.08,32.5,0,1
2024-04-08 12:00,405.2,463.9,101.6,25.3,0.5,37.4,0,1
2024-04-08 13:00,396.1,444.2,111.5,22.5,0.5,33.6,0,1
2024-04-08 14:00,417.4,379.4,118.4,22.0,0.5,31.4,0,1
2024-04-08 15:00,374.2,324.6,106.2,22.3,0.5,27.5,0,1
2024-04-08 16:00,411.1,231.5,101.4,19.4,0.5,48.3,0,1
2024-04-08 17:00,375.4,91.4,105.0,19.1,0.5,30.2,0,1
2024-04-08 18:00,357.9,0.0,103.2,18.3,0.5,53.5,0,1
2024-04-08 19:00,449.4,0.0,109.2,17.3,0.89,45.3,0,1
2024-04-08 20:00,401.6,0.0,127.4,13.2,1.03,59.6,0,1
2024-04-08 21:00,438.9,0.0,111.3,14.8,0.85,64.2,0,1
2024-04-08 22:00,401.1,0.0,130.6,10.0,1.6,67.3,0,1
2024-04-08 23:00,400.7,0.0,143.9,10.0,3.24,52.7,0,1
2024-04-09 00:00,400.9,0.0,147.5,10.0,2.83,67.6,0,2
2024-04-09 01:00,381.4,0.0,167.2,10.9,4.09,82.5,0,2
2024-04-09 02:00,372.3,0.0,199.6,12.9,4.3,69.1,0,2
2024-04-09 03:00,374.2,0.0,213.9,13.8,4.69,76.7,0,2
2024-04-09 04:00,384.3,0.0,203.1,14.3,5.26,83.9,0,2
2024-04-09 05:00,393.1,0.0,197.3,14.8,4.85,72.4,0,2
2024-04-09 06:00,344.0,13.7,193.6,18.5,4.55,68.1,0,2
2024-04-09 07:00,397.5,133.1,132.0,20.8,2.38,76.1,0,2
2024-04-09 08:00,434.5,222.1,155.3,21.7,2.87,50.6,0,2
2024-04-09 09:00,386.6,354.2,157.0,23.7,3.07,49.6,0,2
2024-04-09 10:00,401.4,399.3,136.4,23.5,2.63,50.2,0,2
2024-04-09 11:00,366.4,433.7,105.1,27.0,0.54,39.4,0,2
2024-04-09 12:00,388.2,446.3,116.2,24.6,0.75,44.6,0,2
2024-04-09 13:00,392.6,430.2,114.8,26.1,0.5,35.0,0,2
2024-04-09 14:00,380.3,373.3,86.6,22.8,0.5,28.8,0,2
2024-04-09 15:00,341.2,308.6,87.8,25.1,0.5,23.9,0,2
2024-04-09 16:00,420.5,239.7,97.8,23.8,0.5,28.5,0,2
2024-04-09 17:00,350.4,131.8,125.4,13.8,0.5,27.6,0,2
2024-04-09 18:00,395.4,11.4,103.8,19.8,0.5,46.7,0,2
2024-04-09 19:00,424.9,0.0,84.1,15.4,0.5,43.3,0,2
2024-04-09 20:00,433.2,0.0,114.9,13.3,0.5,47.3,0,2
2024-04-09 21:00,446.9,0.0,91.2,13.9,0.5,54.5,0,2
2024-04-09 22:00,381.9,0.0,127.9,10.5,2.33,60.7,0,2
2024-04-09 23:00,387.9,0.0,155.1,10.0,2.97,61.5,0,2
2024-04-10 00:00,422.3,0.0,165.7,11.1,3.63,86.2,1,3
2024-04-10 01:00,420.7,0.0,180.8,10.5,4.45,79.5,1,3
2024-04-10 02:00,397.6,0.0,165.7,10.0,3.76,92.2,1,3
2024-04-10 03:00,442.5,0.0,202.8,10.6,5.43,77.1,1,3
2024-04-10 04:00,398.6,0.0,192.1,14.1,4.5,91.7,1,3
2024-04-10 05:00,417.7,0.0,203.7,16.5,5.15,71.4,1,3
2024-04-10 06:00,410.0,0.0,203.0,16.7,5.18,83.0,1,3
2024-04-10 07:00,470.2,108.2,175.8,24.0,3.64,72.9,1,3
2024-04-10 08:00,429.5,209.8,155.5,23.8,3.27,53.6,1,3
2024-04-10 09:00,424.2,294.9,154.8,19.5,2.8,43.1,1,3
2024-04-10 10:00,442.1,371.6,124.4,24.7,0.8,45.1,1,3
2024-04-10 11:00,430.0,435.8,113.0,24.6,0.8,36.9,1,3
2024-04-10 12:00,418.0,436.4,95.9,22.2,0.6,23.5,1,3
2024-04-10 13:00,400.3,429.9,113.9,26.2,0.53,35.1,1,3
2024-04-10 14:00,423.5,385.1,108.8,23.3,0.79,32.8,1,3
2024-04-10 15:00,405.9,298.2,82.6,21.6,0.5,37.5,1,3
2024-04-10 16:00,427.0,262.4,100.9,21.5,0.5,20.0,1,3
2024-04-10 17:00,436.5,112.1,103.7,20.5,0.5,36.6,1,3
2024-04-10 18:00,416.9,0.0,106.4,17.6,0.5,49.4,1,3
2024-04-10 19:00,489.5,0.0,105.7,13.4,0.5,48.5,1,3
2024-04-10 20:00,480.0,0.0,111.9,13.4,0.99,64.7,1,3
2024-04-10 21:00,459.0,0.0,101.0,10.0,0.58,59.3,1,3
2024-04-10 22:00,428.8,0.0,141.6,11.1,2.32,67.0,1,3
2024-04-10 23:00,398.2,0.0,144.7,10.0,2.21,71.7,1,3
2024-04-11 00:00,406.8,0.0,184.6,13.1,4.23,75.2,0,4
2024-04-11 01:00,373.0,0.0,174.3,10.0,3.75,77.0,0,4
2024-04-11 02:00,401.4,0.0,200.7,11.3,4.6,83.1,0,4
2024-04-11 03:00,355.4,0.0,161.8,10.0,3.37,85.7,0,4
2024-04-11 04:00,393.7,0.0,170.4,11.2,3.92,80.4,0,4
2024-04-11 05:00,353.4,0.0,192.4,10.0,4.57,75.4,0,4
2024-04-11 06:00,362.5,17.9,197.2,17.0,4.95,68.3,0,4
2024-04-11 07:00,384.1,113.9,185.5,18.8,3.56,58.4,0,4
2024-04-11 08:00,396.2,215.0,156.1,17.8,2.53,65.3,0,4
2024-04-11 09:00,371.2,350.6,169.1,20.7,3.87,53.3,0,4
2024-04-11 10:00,408.1,390.2,130.4,24.5,2.18,51.6,0,4
2024-04-11 11:00,382.5,429.2,109.8,24.7,0.82,51.4,0,4
2024-04-11 12:00,368.2,434.3,106.4,21.3,0.5,41.8,0,4
2024-04-11 13:00,366.4,413.3,116.0,26.1,0.5,37.8,0,4
2024-04-11 14:00,390.0,396.5,122.7,22.4,0.5,39.3,0,4
2024-04-11 15:00,384.8,341.1,106.1,20.7,0.5,31.3,0,4
2024-04-11 16:00,364.9,209.3,81.3,21.6,0.5,30.8,0,4
2024-04-11 17:00,375.0,121.1,109.2,22.9,0.5,35.8,0,4
2024-04-11 18:00,385.1,0.0,117.1,18.7,0.5,41.3,0,4
2024-04-11 19:00,451.1,0.0,102.8,16.2,0.5,53.2,0,4
2024-04-11 20:00,420.5,0.0,112.1,10.9,0.74,50.4,0,4
2024-04-11 21:00,460.6,0.0,119.6,14.5,1.24,63.6,0,4
2024-04-11 22:00,393.6,0.0,145.3,16.1,2.34,55.2,0,4
2024-04-11 23:00,358.0,0.0,157.9,12.8,3.18,71.7,0,4
2024-04-12 00:00,410.1,0.0,163.3,10.0,3.15,80.8,0,5
2024-04-12 01:00,369.0,0.0,185.2,10.0,4.39,87.5,0,5
2024-04-12 02:00,377.8,0.0,185.0,11.0,4.13,84.5,0,5
2024-04-12 03:00,373.3,0.0,209.2,10.3,4.64,84.2,0,5
2024-04-12 04:00,354.5,0.0,185.4,12.7,5.13,83.2,0,5
2024-04-12 05:00,426.0,0.0,208.8,12.1,5.66,68.8,0,5
2024-04-12 06:00,417.1,18.1,221.8,17.4,5.52,81.5,0,5
2024-04-12 07:00,385.3,116.4,189.2,20.0,4.59,57.6,0,5
2024-04-12 08:00,401.6,247.2,164.8,19.6,3.92,61.7,0,5
2024-04-12 09:00,378.5,316.4,156.8,21.6,2.35,35.5,0,5
2024-04-12 10:00,402.0,398.4,118.2,24.3,1.39,55.5,0,5
2024-04-12 11:00,413.9,457.8,107.1,21.8,1.0,44.9,0,5
2024-04-12 12:00,385.8,447.8,98.2,21.8,0.58,21.0,0,5
2024-04-12 13:00,358.9,391.6,100.7,20.6,0.5,27.1,0,5
2024-04-12 14:00,369.2,396.7,91.0,26.6,0.5,26.8,0,5
2024-04-12 15:00,378.2,315.1,92.2,22.6,0.5,39.4,0,5
2024-04-12 16:00,396.4,213.0,115.9,18.8,0.5,35.9,0,5
2024-04-12 17:00,336.4,129.7,108.4,18.3,0.5,32.1,0,5
2024-04-12 18:00,351.9,0.0,108.9,16.4,0.5,46.1,0,5
2024-04-12 19:00,438.4,0.0,100.6,12.7,0.5,39.0,0,5
2024-04-12 20:00,415.4,0.0,118.4,10.3,1.2,49.9,0,5
2024-04-12 21:00,437.7,0.0,110.4,14.3,0.61,61.9,0,5
2024-04-12 22:00,381.6,0.0,118.4,11.3,1.78,61.7,0,5
2024-04-12 23:00,337.5,0.0,146.7,10.0,3.04,79.0,0,5
2024-04-13 00:00,416.9,0.0,192.3,11.2,4.73,76.8,1,6
2024-04-13 01:00,421.3,0.0,162.6,13.0,3.73,73.6,1,6
2024-04-13 02:00,425.5,0.0,209.7,11.2,5.57,82.3,1,6
2024-04-13 03:00,426.8,0.0,241.3,10.0,5.43,78.6,1,6
2024-04-13 04:00,450.7,0.0,191.2,14.1,4.55,73.7,1,6
2024-04-13 05:00,463.7,0.0,220.7,12.3,5.45,68.0,1,6
2024-04-13 06:00,445.3,7.3,199.6,16.1,5.37,68.0,1,6
2024-04-13 07:00,442.7,102.1,198.5,17.5,4.74,59.1,1,6
2024-04-13 08:00,475.4,223.8,157.4,24.6,2.86,55.2,1,6
2024-04-13 09:00,447.7,336.0,182.6,19.8,3.03,47.2,1,6
2024-04-13 10:00,423.6,394.8,135.3,24.2,2.2,43.9,1,6
2024-04-13 11:00,450.5,454.4,133.1,24.1,2.01,30.3,1,6
2024-04-13 12:00,429.6,435.0,96.0,19.8,0.5,42.4,1,6
2024-04-13 13:00,423.4,428.8,91.8,25.4,0.5,29.2,1,6
2024-04-13 14:00,457.4,404.7,96.7,26.3,0.5,38.5,1,6
2024-04-13 15:00,435.8,300.5,112.9,22.8,0.5,24.5,1,6
2024-04-13 16:00,425.3,233.8,96.3,19.6,0.5,35.3,1,6
2024-04-13 17:00,464.9,101.5,94.2,20.6,0.5,38.2,1,6
2024-04-13 18:00,438.8,9.5,112.1,18.0,0.5,45.0,1,6
2024-04-13 19:00,514.2,0.0,99.7,16.0,0.5,53.2,1,6
2024-04-13 20:00,440.9,0.0,124.1,11.6,1.16,54.2,1,6
2024-04-13 21:00,483.4,0.0,122.8,11.0,1.17,63.8,1,6
2024-04-13 22:00,443.3,0.0,146.9,10.1,2.31,65.7,1,6
2024-04-13 23:00,444.5,0.0,169.1,10.0,3.43,68.9,1,6
2024-04-14 00:00,429.7,0.0,161.0,13.7,3.37,74.2,1,7
2024-04-14 01:00,410.8,0.0,168.8,11.8,3.15,71.8,1,7
2024-04-14 02:00,431.3,0.0,201.4,14.4,4.54,78.8,1,7
2024-04-14 03:00,439.0,0.0,202.8,10.2,5.04,86.0,1,7
2024-04-14 04:00,418.2,0.0,146.0,15.5,3.38,81.4,1,7
2024-04-14 05:00,447.2,0.0,232.0,16.2,5.72,71.7,1,7
2024-04-14 06:00,431.4,0.0,210.3,19.6,5.58,72.7,1,7
2024-04-14 07:00,452.2,124.7,209.8,17.1,5.42,60.2,1,7
2024-04-14 08:00,436.6,205.2,152.7,23.9,3.13,56.4,1,7
2024-04-14 09:00,404.7,317.0,130.4,21.9,2.52,43.7,1,7
2024-04-14 10:00,424.4,378.4,138.3,24.6,2.05,32.3,1,7
2024-04-14 11:00,427.1,444.7,103.1,26.4,0.5,38.1,1,7
2024-04-14 12:00,449.4,450.3,120.0,22.5,0.5,27.8,1,7
2024-04-14 13:00,397.5,410.9,103.7,23.6,0.5,20.3,1,7
2024-04-14 14:00,421.3,391.9,117.1,24.1,0.5,36.3,1,7
2024-04-14 15:00,391.3,307.4,98.9,23.7,0.5,24.6,1,7
2024-04-14 16:00,426.0,215.2,102.7,18.5,0.5,33.9,1,7
2024-04-14 17:00,428.2,116.8,108.1,19.7,0.5,47.2,1,7
2024-04-14 18:00,419.0,5.4,89.6,17.5,0.5,44.5,1,7
2024-04-14 19:00,477.7,0.0,82.2,15.4,0.5,47.1,1,7
2024-04-14 20:00,461.5,0.0,114.9,12.4,0.56,56.1,1,7
2024-04-14 21:00,468.4,0.0,147.5,10.3,1.81,64.5,1,7
2024-04-14 22:00,417.9,0.0,160.1,10.0,2.55,74.5,1,7
2024-04-14 23:00,427.6,0.0,163.0,10.0,2.95,74.5,1,7
2024-04-15 00:00,350.1,0.0,154.2,11.6,2.45,85.8,0,1
2024-04-15 01:00,360.1,0.0,164.1,12.5,3.47,76.3,0,1
2024-04-15 02:00,405.1,0.0,195.8,10.3,5.07,89.2,0,1
2024-04-15 03:00,397.4,0.0,191.7,11.6,3.89,73.5,0,1
2024-04-15 04:00,385.0,0.0,184.1,11.0,4.64,76.5,0,1
2024-04-15 05:00,389.8,0.0,191.6,16.0,4.61,72.6,0,1
2024-04-15 06:00,373.3,0.0,205.7,16.1,4.53,66.9,0,1
2024-04-15 07:00,394.0,134.1,180.5,19.9,3.94,66.3,0,1
2024-04-15 08:00,379.7,207.1,174.3,20.3,3.77,44.0,0,1
2024-04-15 09:00,389.0,291.2,175.1,25.4,4.12,53.0,0,1
2024-04-15 10:00,371.5,360.0,133.3,21.5,1.63,41.3,0,1
2024-04-15 11:00,363.5,396.7,117.2,21.6,1.37,51.8,0,1
2024-04-15 12:00,388.9,443.0,125.8,26.2,1.68,24.7,0,1
2024-04-15 13:00,388.4,451.0,102.0,29.1,0.5,32.6,0,1
2024-04-15 14:00,373.8,399.0,97.3,23.7,0.5,31.9,0,1
2024-04-15 15:00,379.1,291.6,113.6,22.7,0.5,38.7,0,1
2024-04-15 16:00,404.7,193.0,132.4,18.7,0.5,29.2,0,1
2024-04-15 17:00,385.1,124.3,107.5,20.9,0.5,36.9,0,1
2024-04-15 18:00,377.3,0.0,112.3,18.1,0.5,41.1,0,1
2024-04-15 19:00,433.5,0.0,100.8,16.4,0.5,53.1,0,1
